__time,/LCQP_controller_multipleObstacle/distance/data.0,/LCQP_controller_multipleObstacle/distance/data.1,/LCQP_controller_multipleObstacle/distance/data.10,/LCQP_controller_multipleObstacle/distance/data.11,/LCQP_controller_multipleObstacle/distance/data.12,/LCQP_controller_multipleObstacle/distance/data.13,/LCQP_controller_multipleObstacle/distance/data.14,/LCQP_controller_multipleObstacle/distance/data.2,/LCQP_controller_multipleObstacle/distance/data.3,/LCQP_controller_multipleObstacle/distance/data.4,/LCQP_controller_multipleObstacle/distance/data.5,/LCQP_controller_multipleObstacle/distance/data.6,/LCQP_controller_multipleObstacle/distance/data.7,/LCQP_controller_multipleObstacle/distance/data.8,/LCQP_controller_multipleObstacle/distance/data.9,/LCQP_controller_multipleObstacle/distance/layout/data_offset,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/panda_finger_joint1/effort,/joint_states/panda_finger_joint1/position,/joint_states/panda_finger_joint1/velocity,/joint_states/panda_finger_joint2/effort,/joint_states/panda_finger_joint2/position,/joint_states/panda_finger_joint2/velocity,/joint_states/panda_joint1/effort,/joint_states/panda_joint1/position,/joint_states/panda_joint1/velocity,/joint_states/panda_joint2/effort,/joint_states/panda_joint2/position,/joint_states/panda_joint2/velocity,/joint_states/panda_joint3/effort,/joint_states/panda_joint3/position,/joint_states/panda_joint3/velocity,/joint_states/panda_joint4/effort,/joint_states/panda_joint4/position,/joint_states/panda_joint4/velocity,/joint_states/panda_joint5/effort,/joint_states/panda_joint5/position,/joint_states/panda_joint5/velocity,/joint_states/panda_joint6/effort,/joint_states/panda_joint6/position,/joint_states/panda_joint6/velocity,/joint_states/panda_joint7/effort,/joint_states/panda_joint7/position,/joint_states/panda_joint7/velocity
1709656044.100457,,,,,,,,,,,,,,,,,29.000000000,1709656044.100213051,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.208655357,0.020055943,0.025067290,-4.788606644,-0.728238650,0.087203635,-0.781719804,0.025179668,0.030804601,22.609737396,-2.356742661,0.007145497,0.835070789,0.008857100,0.009347690,2.531614780,1.593407309,0.032227266,-0.122496642,0.789583748,0.001102748
1709656044.122563,0.481779089,0.655953098,0.615506566,0.293753550,0.494232487,0.623435191,0.358838725,0.422347004,0.484772271,0.453908251,0.189768360,0.608702513,0.617481928,0.152329194,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.134800,,,,,,,,,,,,,,,,,30.000000000,1709656044.133928061,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.020896374,0.027899180,-4.951265335,-0.725363062,0.086166379,-0.861065507,0.026332320,0.027470164,22.570064545,-2.356541602,0.003399015,0.817675769,0.009156354,0.002537522,2.524290562,1.594491576,0.036489610,-0.100523986,0.789580064,0.000628046
1709656044.156905,0.481779089,0.655478360,0.614846627,0.293444515,0.494232487,0.622874751,0.357497018,0.421008165,0.484531469,0.453147123,0.189181743,0.608702513,0.616594148,0.151465389,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.167139,,,,,,,,,,,,,,,,,31.000000000,1709656044.166877985,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.021789846,0.021061323,-5.197237015,-0.722489603,0.081034315,-0.900738358,0.027489102,0.041700091,22.689083099,-2.356464788,0.000728164,0.829577625,0.009447862,0.002021106,2.531614780,1.595575684,0.027512736,-0.085875548,0.789583026,0.000074071
1709656044.190567,0.481779089,0.655009088,0.614190634,0.293166783,0.494232487,0.622320863,0.356157846,0.419675101,0.484291550,0.452395420,0.188583702,0.608702513,0.615714841,0.150611183,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.200749,,,,,,,,,,,,,,,,,32.000000000,1709656044.200278044,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.168982506,0.022714101,0.024579611,-5.399568558,-0.719615391,0.081334947,-0.900738358,0.028651896,0.030844712,22.689083099,-2.356414151,0.001882189,0.811267078,0.009741724,0.010975934,2.552671909,1.596698299,0.039445972,-0.064818420,0.789577394,-0.001347761
1709656044.224429,0.481779089,0.654721708,0.613788006,0.292925658,0.494232487,0.621981772,0.355011033,0.418508157,0.484148920,0.451935625,0.188133064,0.608702513,0.615176168,0.150116013,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.233806,,,,,,,,,,,,,,,,,33.000000000,1709656044.233563900,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.367346764,0.023533540,0.015510616,-7.311800003,-0.717443601,0.043172578,-1.293499589,0.029699623,0.026432125,22.292354584,-2.356724718,-0.023230724,0.787463367,0.010027151,0.006681968,2.386045933,1.597659376,0.029903322,-0.079466857,0.789581923,-0.000652898
1709656044.258572,0.481779089,0.654622226,0.613630230,0.292613230,0.494232487,0.621863283,0.353978495,0.417407497,0.484106746,0.451772234,0.187878332,0.608702513,0.614976091,0.150019425,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
